subj,group,trial,highcue_indx,img_rate,exp_rate,val_type,cue_observed_std,cue_value_1,cue_value_2,cue_value_3,cue_value_4,cue_value_5,cue_value_6,cue_value_7,cue_value_8,cue_value_9,cue_value_10,cue_deviation_from_norm,cue_observed_mean,Image,Theme,Category,Pair,Half,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women,Valence_gender_difference
3,1,1,-1,60,55,1,9.37081630927221,58.083112096712,46.6553450001038,65.4047962488709,57.231547856579,50.9424582095297,54.4728333886703,76.0759346452113,47.3115796829099,66.924664398508,63.225194684032,-15.954712124762,58.6327466211127,75,Bird_2,Animal,9,1,Pixabay,74.5874587458747,18.3475792236017,101,44.9838187702265,25.7602224411893,103,71.8390804666667,16.8720955333333,58,78.29457365,19.7654513,43,44.5578231333333,27.08605865,49,44.9685534666667,24.8036963166667,53,6.45549318333333
3,1,2,-1,55,50,1,8.06863098554931,41.2595928714355,55.6526800625368,44.3895073787779,64.9371098764335,61.6167594618905,53.8199448122849,43.6444499426356,49.1199875323056,49.3736327100482,59.2148356191974,-16.2156684917639,52.3028500267546,103,Bungee_jumping_3,Person,11,1,Flickr/Eric Chan,68.5185185185185,22.7101165618777,108,55.9294871794872,28.0543344397325,104,68.4210526333333,23.2916742333333,57,68.6274509833333,22.2728182166667,51,47.9591836666667,27.7706907,49,63.0303030333333,26.5837656333333,55,0.20639835000001
3,1,3,1,40,45,3,13.6385624060005,53.8531509196153,48.165034545449,34.1207920257436,17.3455557945407,30.7283513505692,43.4281812316779,26.9339470317447,39.2534821892804,56.4942893609386,58.2774979782012,14.8796360859134,40.8600282427761,494,Miserable_pose_1,Person,22,1,Wikipedia,25.9803921568627,16.1765441248336,102,40.5940594059407,27.6300803859528,101,27.0370370333333,18.2189575833333,45,25.5952381,14.2006849,56,40.8163265333333,28.2722430666667,49,40.3846153833333,27.2857376666667,52,1.44179893333333
3,1,4,-1,70,65,1,13.5737284654754,70.9709576678155,89.5674794363491,75.5677259099236,77.1906854125075,75.4129518346475,63.1675906233407,71.2066271737361,74.9600702402526,82.75091078393,38.920661352957,-10.2815203762072,71.971566043546,509,Mother_5,Person,23,1,Pixabay,82.2530864197532,16.9406066731862,108,41.826923076923,27.083632540811,104,79.8245614,17.7440024833333,57,84.9673202666667,15.7250338166667,51,41.8367347,27.6641667666667,49,41.8181818166667,26.8114755,55,5.14275886666667
3,1,5,1,95,90,1,5.583210276273,92.8090535036081,98.2367658473759,97.0894524061519,99.3746389872661,96.8951314175888,96.7454924135988,91.7439370063139,98.8959852413833,80.8279123307389,97.9209692195499,5.61498994296805,95.0539338373575,59,Beach_1,Scene,8,1,Pixabay,89.4389438943895,14.0875777188486,101,62.2977346278317,28.1956637150842,103,87.0689655166667,15.3081102833333,58,92.6356589166667,11.6736518666667,43,60.2040816333333,24.4893038166667,49,64.1509434,31.5883353833333,53,5.5666934
3,1,6,-1,50,35,2,8.70781390669053,37.7257536965779,35.1289207029196,31.3438840599542,29.4299969069435,23.5305937797273,31.7515523185118,26.3064152035195,36.618378634398,55.4156076112145,33.700382811976,-16.3950475058571,34.0951485725742,860,Wall_2,Object,30,1,Pixabay,50.4901960784313,8.27733075100982,102,11.5511551155115,20.6481872028388,101,50.3787878833333,4.38554761666667,44,50.57471265,10.3381036166667,58,11.3475177333333,19.6915781166667,47,10.5769230833333,19.5340176333333,52,0.19592476666667
3,1,7,1,50,65,2,12.5253956825392,83.6197382219587,77.9769490320207,88.0397358504149,72.2083787496507,71.1240516657497,70.5189330245666,58.0801372403153,95.9964123700177,55.6357576086046,70.8374194608062,15.4531340384599,74.4037513224105,9,Alcohol_6,Object,2,1,Pixabay,58.9506172839507,17.4170524821143,108,27.4038461538462,27.1753931256932,104,58.1871345,19.7008397166667,57,59.8039215666667,14.5969824,51,26.8707483,26.5309756333333,49,27.8787878833333,27.9723823,55,1.61678706666667
3,1,8,1,60,85,1,7.07236776438482,88.7963894169128,93.9310512037834,76.3749800603116,98.9750279378879,92.5680174089977,90.4006093273043,98.6292118220969,97.2788660048622,98.7724841752293,98.5792819154258,13.6920298357779,93.4305919272812,79,Birthday_1,Scene,10,1,Pixabay,79.7385620915033,15.8422245281386,102,40.924092409241,27.236082325071,101,75.1851851833333,14.91652795,45,83.3333333333333,15.89104315,56,35.7142857166667,25.4587538666667,49,45.8333333333333,28.1752607,52,8.14814815
3,1,9,1,60,80,1,6.25338517947837,90.6117136164547,97.8821237066812,98.2491021493487,88.745547041864,89.9946354267681,99.528868543776,99.081615060601,96.7096575516904,79.8329521049655,95.0515725227008,11.052438903204,93.568778772485,345,Flowers_2,Object,17,1,Pixabay,82.516339869281,17.4529779990768,102,40.924092409241,29.8630906039218,101,76.5151515166667,19.4624736,44,87.0689655166667,14.3212595166667,58,35.4609929,26.1491959833333,47,45.1923077,32.72925485,52,10.553814
3,1,10,-1,40,30,3,10.3204180794592,30.9144370396868,26.9677243765791,14.1218485041451,3.19351365817272,25.337367044338,8.48125774372907,15.7324121789427,33.1091315951696,29.7473767636098,14.6897084467055,-11.6332673629313,20.2294777351078,769,Snake_3,Animal,27,1,Wikipedia,31.8627450980392,22.991716733955,102,59.5709570957095,32.689323321016,101,34.8148148166667,25.5796987333333,45,29.7619047666667,20.7715534166667,56,56.4625850333333,33.1271970833333,49,62.5,32.3170230333333,52,5.05291005
