Image,ImageNum,Category,CatNumber,Prob
Acorns1.jpg,1,Entrancement,11,0.618851184844971
Acorns2.jpg,2,Craving,8,0.944976568222046
Acorns3.jpg,3,Craving,8,0.718847155570984
Alcohol1.jpg,4,Interest,15,0.891881287097931
Alcohol2.jpg,5,Surprise,20,0.468243211507797
Alcohol3.jpg,6,Entrancement,11,0.451230883598328
Alcohol4.jpg,7,Surprise,20,0.4366714656353
Alcohol5.jpg,8,Aesthetic Appreciation,2,0.587607204914093
Alcohol6.jpg,9,Amusement,3,0.575204193592072
Alcohol7.jpg,10,Amusement,3,0.641347587108612
Alcohol8.jpg,11,Aesthetic Appreciation,2,0.988070845603943
Ambulance1.jpg,12,Confusion,7,0.994150936603546
Ambulance2.jpg,13,Amusement,3,0.998504400253296
Ambulance3.jpg,14,Sadness,18,0.811657190322876
Angryface1.jpg,15,Romance,17,0.953468561172485
Angryface2.jpg,16,Aesthetic Appreciation,2,0.498071283102036
Angryface3.jpg,17,Amusement,3,0.464656591415405
Angryface4.jpg,18,Entrancement,11,0.995320856571198
Angryface5.jpg,19,Boredom,6,0.715450644493103
Angrypose1.jpg,20,Disgust,9,0.964470744132996
Angrypose2.jpg,21,Entrancement,11,0.592302620410919
Animalcarcass1.jpg,22,Disgust,9,0.562664330005646
Animalcarcass2.jpg,23,Aesthetic Appreciation,2,0.3313969373703
Animalcarcass3.jpg,24,Amusement,3,0.710864126682281
Animalcarcass4.jpg,25,Amusement,3,0.34268245100975
Animalcarcass6.jpg,26,Sadness,18,0.589295566082001
Archery1.jpg,27,Excitement,12,0.399942338466644
Archery2.jpg,28,Amusement,3,0.715410172939301
Astronaut1.jpg,29,Entrancement,11,0.335233211517334
Astronaut2.jpg,30,Amusement,3,0.975279271602631
BDSM1.jpg,31,Awe,5,0.575542628765106
Baby10.jpg,32,Amusement,3,0.94740617275238
Baby3.jpg,33,Sexual Desire,19,0.967235028743744
Baby4.jpg,34,Entrancement,11,0.454447686672211
Baby7.jpg,35,Disgust,9,0.554813146591187
Baby9.jpg,36,Adoration,1,0.867867469787598
Band1.jpg,37,Awe,5,0.549753427505493
Band2.jpg,38,Awe,5,0.681908190250397
Bar1.jpg,39,Surprise,20,0.627790093421936
Bar2.jpg,40,Amusement,3,0.534163475036621
Bar3.jpg,41,Excitement,12,0.44393715262413
Barbeque1.jpg,42,Excitement,12,0.727312088012695
Barbeque2.jpg,43,Joy,16,0.878568768501282
Bark1.jpg,44,Aesthetic Appreciation,2,0.973274350166321
Bark2.jpg,45,Entrancement,11,0.508862793445587
Bark3.jpg,46,Entrancement,11,0.908007502555847
Bark4.jpg,47,Disgust,9,0.498942106962204
Bark5.jpg,48,Amusement,3,0.478099912405014
Bark6.jpg,49,Aesthetic Appreciation,2,0.999890208244324
Barrels1.jpg,50,Amusement,3,0.810306251049042
Beach3.jpg,51,Awe,5,0.998018860816956
Beach4.jpg,52,Adoration,1,0.529231369495392
Beach5.jpg,53,Aesthetic Appreciation,2,0.625573992729187
Beach8.jpg,54,Awe,5,0.972979366779327
Bear1.jpg,55,Amusement,3,0.532397866249084
Bear2.jpg,56,Amusement,3,0.933676064014435
Bear3.jpg,57,Adoration,1,0.985132575035095
Bed1.jpg,58,Adoration,1,0.503153741359711
Bee1.jpg,59,Entrancement,11,0.73952442407608
Biking1.jpg,60,Amusement,3,0.628738701343536
Billiards1.jpg,61,Entrancement,11,0.928059697151184
Bird1.jpg,62,Awe,5,0.987806499004364
Bird2.jpg,63,Awe,5,0.724742949008942
Bird4.jpg,64,Entrancement,11,0.687475621700287
Bird5.jpg,65,Disgust,9,0.529323160648346
Birthday1.jpg,66,Awe,5,0.772584915161133
Birthday2.jpg,67,Craving,8,0.471823364496231
Birthday3.jpg,68,Amusement,3,0.846968770027161
Bloodyknife2.jpg,69,Disgust,9,0.418218195438385
Boat1.jpg,70,Aesthetic Appreciation,2,0.377909392118454
Boredface1.jpg,71,Disgust,9,0.94008868932724
Boredpose1.jpg,72,Interest,15,0.464125692844391
