,Theme,Category,Source,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women
I379,Garbage dump 1,4,Pixabay,2.311111111,1.124565011,45,2.125,0.832575413,56,2.795918367,1.632732779,49,2.923076923,1.813307603,52
I380,Garbage dump 2,4,Pixabay,1.719298246,0.921070533,57,1.470588235,0.578029106,51,3.408163265,1.957021199,49,4.109090909,1.911686547,55
I381,Garbage dump 3,4,Pixabay,2.181818182,0.994700546,44,1.862068966,1.033615285,58,3.29787234,1.718377567,47,3.673076923,1.86527771,52
I382,Garbage dump 4,4,Pixabay,1.736842105,0.95480581,57,1.529411765,0.611651573,51,3.265306122,1.923273145,49,4.254545455,1.868037015,55
I383,Garbage dump 5,4,Pixabay,2.377777778,1.093137455,45,1.964285714,0.8937009,56,3.040816327,1.731559794,49,3.596153846,1.636107473,52
I384,Garbage dump 6,4,Pixabay,2.192982456,1.007801647,57,1.705882353,0.807319457,51,2.897959184,1.817105046,49,3.690909091,1.864609256,55
I385,Garbage dump 7,4,Pixabay,2.8,1.272077756,45,2.714285714,1.090692619,56,2.448979592,1.608068516,49,2.5,1.614881772,52
I386,Garbage dump 8,4,Pixabay,2.355555556,1.227628082,45,1.839285714,0.986763041,56,2.979591837,1.808426986,49,3.307692308,1.863356254,52
I387,Gargoyle 1,2,Wikipedia,4.111111111,1.417780311,45,3.732142857,1.327897469,56,3.979591837,1.701589893,49,3.519230769,1.697638321,52
I388,Gargoyle 2,2,Wikipedia,3.438596491,1.239492175,57,3.078431373,1.230335519,51,3.653061224,1.762467735,49,3.854545455,1.985299509,55
I389,Gazing 1,3,Pixabay,5.044444444,1.147240871,45,4.696428571,1.025486897,56,3.306122449,1.583825559,49,2.884615385,1.699525264,52
I390,Gazing 2,3,Pixabay,5.022222222,0.988315575,45,5.160714286,1.040573019,56,3.183673469,1.55018103,49,3.557692308,1.637950196,52
I391,Gazing 3,3,Flickr/Joshua Blount,5.192982456,1.15632726,57,5.68627451,1.14000344,51,3.06122449,1.712796973,49,3.537037037,1.679094129,54
I392,Gazing 4,3,Pixabay,4.431818182,0.818328622,44,4.534482759,1.142719398,58,2.914893617,1.248125329,47,3.096153846,1.445203227,52
I393,Gazing 5,3,Pixabay,5.385964912,1.081572697,57,5.509803922,0.966903284,51,3.142857143,1.5,49,3.454545455,1.664645239,55
I394,Gazing 6,3,Pixabay,5.577777778,1.076376263,45,6.053571429,0.998537892,56,3.612244898,1.656003303,49,3.365384615,1.657175085,52
I395,Gazing 7,3,Wikipedia,4.840909091,0.938657671,44,5.086206897,1.159014747,58,3.510638298,1.599895926,47,3.634615385,1.508522796,52
I396,Goat 1,1,Flickr/Neil Piddock,5.280701754,1.250062655,57,5.392156863,1.201306478,51,3.387755102,1.81218476,49,3.236363636,1.731661976,55
I397,Goat 2,1,Pixabay,5.052631579,1.201502818,57,5.37254902,1.248371488,51,2.897959184,1.571157985,49,3.163636364,1.802915708,55
I398,Gorrila 1,1,Flickr/Antony Stanley,3.894736842,1.234680562,57,3.921568627,1.48112305,51,3.183673469,1.509324758,49,3.854545455,1.778661397,55
I399,Grass 1,4,Pixabay,5.052631579,1.092524152,57,4.862745098,1.095803045,51,2.244897959,1.422008735,49,2.218181818,1.511571528,55
I400,Grass 2,4,Pixabay,4.704545455,0.701478354,44,5.120689655,1.185846151,58,2.468085106,1.47222198,47,2.365384615,1.572170302,52
I401,Grass 3,4,Pixabay,4.866666667,1.035725481,45,5.125,1.045553355,56,1.93877551,1.297564437,49,2.269230769,1.34478491,52
I402,Grass 4,4,Pixabay,5.266666667,1.213559752,45,5.214285714,1.123538011,56,1.836734694,1.296581061,49,2.365384615,1.657175085,52
I403,Grass 5,4,Pixabay,4.727272727,0.727008409,44,5.103448276,1.070983401,58,2.404255319,1.408970862,47,2.423076923,1.613012695,52
I404,Grass 6,4,Pixabay,5.017241379,0.999848748,58,5.348837209,1.15230041,43,3.06122449,1.772570676,49,2.698113208,1.814311754,53
I405,Grass 7,4,Pixabay,4.681818182,0.638775255,44,5.051724138,1.050019445,58,2.319148936,1.3847992,47,2.326923077,1.580781066,52
I406,Graveyard 1,4,Wikipedia,3.157894737,1.29269201,57,3.254901961,1.213970959,51,3.183673469,1.628822036,49,3.709090909,1.706987028,55
I407,Graveyard 2,4,Wikipedia,3.396551724,1.168889939,58,3.11627907,1.095647283,43,3.530612245,1.768969107,49,3.603773585,1.853682641,53
I408,Graveyard 3,4,Wikipedia,3.422222222,1.137958477,45,3.75,1.254084237,56,3.489795918,1.582751415,49,3.730769231,1.610205012,52
I409,Graveyard 4,4,Wikipedia,3.263157895,1.39548143,57,3.156862745,1.155379574,51,3.489795918,1.569533489,49,3.745454545,1.745026603,55
I410,Guitar 1,3,Pixabay,5.456140351,0.92717265,57,5.607843137,1.02134091,51,2.93877551,1.420213647,49,3.545454545,1.653483212,55
I411,Gun 1,2,Pixabay,2.965517241,1.4505355,58,2.418604651,1.467627793,43,3.979591837,1.842663334,49,4.018867925,1.936397985,53
I412,Gun 2,3,Pixabay,2.863636364,1.112109019,44,2.655172414,1.116883574,58,4.255319149,1.661168854,47,4.153846154,1.526043396,52
I413,Gun 3,2,Pixabay,3.266666667,1.710927447,45,2.767857143,1.374985242,56,4.102040816,1.734993972,49,3.961538462,1.644498117,52
I414,Gun 4,2,Pixabay,3.088888889,1.564117849,45,2.714285714,1.344541635,56,4,1.837117307,49,3.788461538,1.68425859,52
I415,Gun 5,2,Pixabay,2.977777778,1.685349827,45,2.910714286,1.417767589,56,4.142857143,1.870828693,49,4.096153846,1.763014524,52
I416,Gun 6,2,Pixabay,2.965517241,1.474526594,58,2.674418605,1.569363387,43,4.12244898,1.87786063,49,3.79245283,2.013020029,53
I417,Gun 7,2,Pixabay,3.310344828,1.580660494,58,2.302325581,1.354619675,43,4.204081633,1.80253978,49,3.849056604,1.994186034,53
I418,Gun 8,2,Pixabay,3.379310345,1.436706592,58,2.674418605,1.392512806,43,4.142857143,1.670828138,49,3.735849057,1.733725905,53
I419,Gun 9,2,Pixabay,3.272727273,1.436462651,44,2.586206897,1.376933827,58,4.170212766,1.659218634,47,4.5,1.809560666,52
I420,Gun 10,2,Pixabay,2.931034483,1.576828584,58,2.255813953,1.329035154,43,4.306122449,1.850721499,49,4.037735849,1.941076864,53
I421,Hallway 1,4,Wikipedia,2.842105263,1.17700397,57,2.352941176,1.016337137,51,3.244897959,1.920618523,49,3.490909091,1.98020507,55
I422,Hang gliding 1,3,Wikipedia,5.175438596,1.324532357,57,4.921568627,1.036207262,51,4.081632653,1.765841805,49,4.581818182,1.791863391,55
I423,Hang gliding 2,3,Wikipedia,5.244444444,1.190025889,45,5.107142857,1.038855514,56,4.285714286,1.607275127,49,4.115384615,1.554926972,52
I424,Hang gliding 3,3,Wikipedia,4.933333333,1.268499471,45,4.928571429,0.891518477,56,4.224489796,1.571428571,49,3.980769231,1.514510011,52
I425,Hangover 1,3,Pixabay,2.551724138,0.976431271,58,2.23255814,0.840555635,43,3.285714286,1.848422751,49,3.396226415,1.690921718,53
I426,Happy face 1,3,Pixabay,5.263157895,1.009354741,57,5.705882353,0.922910996,51,3.020408163,1.600648253,49,3.036363636,1.539163269,55
I427,Happy face 2,3,Pixabay,5.070175439,1.066697995,57,5.333333333,1.032795559,51,3.040816327,1.71948616,49,3.290909091,1.696103675,55
I428,Happy pose 1,3,Wikipedia,5.052631579,1.171401063,57,4.705882353,1.375414376,51,3.387755102,1.729840148,49,4.309090909,1.489130088,55
I429,Happy pose 2,3,Wikipedia,5.5,1.022991509,44,5.689655172,0.882717029,58,4.212765957,1.443669392,47,3.692307692,1.67494175,52
I430,Happy pose 3,4,Wikipedia,5.620689655,0.988132852,58,5.906976744,0.971350397,43,3.673469388,1.586239724,49,4.169811321,1.74020168,53
I431,Heart 1,2,Pixabay,4.577777778,0.783027019,45,4.75,1.17936809,56,2.816326531,1.509324758,49,2.730769231,1.535404202,52
I432,Heart 2,2,Pixabay,4.859649123,1.245543434,57,5,1.058300524,51,3.081632653,1.668791163,49,3.109090909,1.535659193,55
I433,Heart 3,2,Pixabay,4.511111111,1.014042814,45,4.946428571,0.980160337,56,2.469387755,1.415715968,49,2.596153846,1.511519368,52
I434,Horse 1,1,Pixabay,5.736842105,1.110442572,57,6.156862745,0.94599258,51,3.469387755,1.595593422,49,3.945454545,1.799363898,55
I435,Horse racing 1,1,Pixabay,4.311111111,1.534781924,45,4.160714286,1.558283271,56,4.346938776,1.561930168,49,4.269230769,1.585663523,52
I436,House 1,4,Pixabay,4.5,0.731357451,44,4.862068966,0.96333259,58,3.021276596,1.481617238,47,3.134615385,1.668965232,52
I437,Injury 1,3,Pixabay,2.044444444,1.147240871,45,1.928571429,0.870885502,56,4.551020408,1.904613089,49,4.519230769,1.924968903,52
I438,Injury 2,3,Pixabay,2.157894737,0.750939261,57,2.019607843,0.787151728,51,3.612244898,2.129322335,49,4.454545455,1.893636339,55
I439,Injury 3,3,Pixabay,2.022727273,0.762146185,44,1.931034483,1.040615017,58,4.425531915,1.964297428,47,5.076923077,1.802461866,52
I440,Injury 4,3,Wikipedia,1.488888889,1.079187873,45,1.321428571,0.811444119,56,5.367346939,2.351363767,49,5.557692308,2.090252462,52
I441,Intensity 1,3,Pixabay,2.909090909,0.960091609,44,2.74137931,1.264360942,58,4.063829787,1.810647918,47,4.307692308,1.842190315,52
I442,Jail 1,4,Pixabay,2.090909091,0.960091609,44,2.327586207,0.980295892,58,3.510638298,1.717839143,47,4,1.804134685,52
I443,Jail 2,4,Pixabay,2.310344828,1.340422774,58,1.627906977,0.817174453,43,3.591836735,1.946346656,49,3.735849057,2.08613503,53
I444,Jail 3,4,Pixabay,2.681818182,1.094865974,44,2.396551724,1.25571892,58,3.574468085,1.728843303,47,4.230769231,1.956541412,52
I445,Jail 4,4,Pixabay,2.333333333,1.13913083,57,1.862745098,0.872229507,51,2.897959184,1.623331168,49,3.909090909,1.808137237,55
I446,Jail 5,4,Pixabay,3.155555556,1.223919849,45,3.035714286,1.439245834,56,3.387755102,1.668536366,49,3.192307692,1.793653972,52
I447,Keyboard 1,2,Pixabay,4.113636364,0.784023881,44,4.206896552,0.74359536,58,2.276595745,1.513736058,47,2,1.357621912,52
I448,Keyboard 2,2,Pixabay,4.137931034,0.660894552,58,4.069767442,0.551851811,43,2.591836735,1.619135152,49,2.188679245,1.532426479,53
I449,Keyboard 3,2,Pixabay,4.386363636,0.618170936,44,4.293103448,0.794909698,58,2.574468085,1.528635095,47,2,1.371988681,52
I450,Keys 1,2,Pixabay,4.086206897,0.732323454,58,3.953488372,0.532446661,43,2.673469388,1.663176618,49,2.113207547,1.382032747,53
I451,KKK rally 1,3,Wikipedia,1.511111111,1.120515754,45,1.214285714,0.652666857,56,4.326530612,2.303871335,49,5.057692308,2.071406281,52
I452,KKK rally 2,3,Wikipedia,1.4,0.962950013,45,1.142857143,0.4012966,56,4.714285714,2.263846285,49,5.230769231,1.936394311,52
I453,Knife 1,2,Pixabay,3.422222222,1.389716925,45,3.125,1.045553355,56,3.673469388,1.700340102,49,3.576923077,1.730308301,52
I454,Knife 2,2,Pixabay,3.409090909,0.947902993,44,3.293103448,1.124037533,58,3.808510638,1.483800905,47,3.596153846,1.648048345,52
I455,Lake 1,4,Pixabay,6.2,0.919486022,45,6.285714286,0.888600242,56,4,1.791182105,49,3.942307692,2.12744403,52
I456,Lake 2,4,Pixabay,6.155555556,1.02148634,45,6.571428571,0.683763459,56,3.755102041,1.887796469,49,4.019230769,2.155616327,52
I457,Lake 3,4,Pixabay,5.789473684,0.920730341,57,6.156862745,0.902719204,51,3.326530612,1.841509289,49,3.127272727,2.08215118,55
I458,Lake 4,4,Pixabay,5.789473684,1.047732963,57,5.784313725,1.154360871,51,3.346938776,1.797579627,49,3.218181818,2.157595619,55
I459,Lake 5,4,Pixabay,5.75862069,1.06475176,58,6.209302326,1.013201892,43,4.183673469,1.810541694,49,4.396226415,1.964488803,53
I460,Lake 6,4,Pixabay,4.466666667,0.814638793,45,4.5,0.894427191,56,2.632653061,1.424398668,49,2.326923077,1.437879073,52
I461,Lake 7,4,Flickr/James Wheeler,6.035087719,1.034492841,57,6.156862745,1.027084203,51,3.653061224,1.785952365,49,3.527272727,2.098099188,55
I462,Lake 8,4,Flickr/James Wheeler,5.977777778,1.011050059,45,6.375,0.799147273,56,3.775510204,1.794265241,49,4.134615385,1.920261891,52
I463,Lake 9,4,Flickr/James Wheeler,6.244444444,0.933116858,45,6.535714286,0.712595403,56,4.081632653,1.998298596,49,4.134615385,1.857985902,52
I464,Lake 10,4,Flickr/James Wheeler,6,1.066003582,45,6.25,0.958218043,56,3.795918367,1.881705696,49,3.826923077,1.88618459,52
I465,Lake 11,4,Flickr/James Wheeler,5.454545455,0.975384133,44,5.913793103,1.064325546,58,4.127659574,1.623429291,47,3.769230769,1.916035374,52
I466,Lake 12,4,Flickr/James Wheeler,6.189655172,0.963489574,58,6.627906977,0.655498931,43,4.571428571,1.744037461,49,4.867924528,1.79783776,53
I467,Lake 13,4,Flickr/James Wheeler,6.122807018,1.086773985,57,6.215686275,0.855890776,51,3.734693878,1.944816939,49,3.709090909,2.042807865,55
I468,Lake 14,4,Flickr/James Wheeler,6.045454545,1.010515536,44,6.517241379,0.842747789,58,4.680851064,1.561860415,47,4.692307692,1.67494175,52
I469,Lake 15,4,Flickr/James Wheeler,6.051724138,0.998637911,58,6.511627907,0.735886023,43,4.653061224,1.690056957,49,4.603773585,1.832816482,53
I470,Lake 16,4,Flickr/James Wheeler,5.982758621,0.964117255,58,6.279069767,0.854277233,43,4.285714286,1.658312395,49,4.283018868,1.884933772,53
I471,Lake 17,4,Wikipedia,5.511111111,1.057918673,45,5.625,0.964129376,56,3.673469388,1.637932578,49,3.557692308,1.764724736,52
I472,Lamb 1,1,Pixabay,5.386363636,0.945390508,44,6.034482759,0.877906546,58,3.723404255,1.542191096,47,4.173076923,1.86527771,52
I473,Lava 1,4,Pixabay,4.421052632,1.4509525,57,3.647058824,1.64710084,51,4.428571429,1.707825128,49,4.981818182,1.48437428,55
I474,Lightning 1,4,Pixabay,4.909090909,1.03019939,44,4.810344828,1.276740595,58,4.574468085,1.470650268,47,4.480769231,1.765579221,52
I475,Lightning 2,4,Wikipedia,4.206896552,1.280879915,58,4.325581395,1.523169162,43,4.714285714,1.486046208,49,4.528301887,1.897404843,53
I476,Lightning 3,4,Wikipedia,4.818181818,1.146739103,44,4.413793103,1.364133074,58,4.744680851,1.538888434,47,4.826923077,1.90686226,52
I477,Lightning 4,4,Wikipedia,4.659090909,1.199674022,44,4.310344828,1.465472758,58,4.70212766,1.600474028,47,4.961538462,1.644498117,52
I478,Lightning 5,4,Wikipedia,4.704545455,1.047245456,44,4.189655172,1.444370761,58,4.553191489,1.51526308,47,4.538461538,1.798273011,52
I479,Lightning 6,4,Wikipedia,4.555555556,1.454703274,45,4.464285714,1.451823752,56,4.571428571,1.755942292,49,4.846153846,1.446898175,52
I480,Lightning 7,4,Wikipedia,4.344827586,1.13248251,58,4.558139535,1.278062626,43,4.448979592,1.608068516,49,4.471698113,1.760722902,53
I481,Lion 1,1,Pixabay,4.896551724,1.20946059,58,5.186046512,1.277195849,43,4.428571429,1.554563176,49,4.245283019,1.719857556,53
I482,Lion 2,1,Flickr/Matt Reinbold,3.590909091,1.187496523,44,3.706896552,1.675505901,58,4.106382979,1.563636266,47,4.480769231,1.8837841,52
I483,Lion 3,1,Flickr/arlo,4.789473684,1.206187058,57,5.117647059,1.275100919,51,3.571428571,1.683250823,49,3.981818182,1.726599195,55
I484,Lion 4,1,Flickr/Glen Bowman,4.590909091,1.127214757,44,4.655172414,1.701925887,58,4.042553191,1.488469404,47,4.423076923,1.850767237,52
I485,Lion 5,1,Wikipedia,4.066666667,1.268499471,45,3.464285714,1.439245834,56,4.714285714,1.607275127,49,4.673076923,1.700301632,52
I486,Massage 1,3,Wikipedia,5.577777778,1.137958477,45,5.803571429,0.961431562,56,4.428571429,1.527525232,49,3.923076923,1.845462415,52
I487,Massage 2,3,Flickr/Synergy ByDesign,5.511111111,1.160372633,45,5.946428571,1.034313876,56,4.326530612,1.491472358,49,3.923076923,1.958852744,52
I488,Meerkat 1,1,Pixabay,4.929824561,1.099669579,57,4.980392157,1.272638143,51,3.163265306,1.598787806,49,3.509090909,1.687346451,55
I489,Memorial 1,4,Pixabay,4.681818182,1.307807099,44,4.655172414,1.584483137,58,4.127659574,1.883763823,47,4.607843137,1.866316494,51
I490,Memorial 2,4,Pixabay,3.275862069,1.37385491,58,2.534883721,1.221802673,43,3.897959184,1.884640748,49,3.849056604,1.96504283,53
I491,Memorial 3,4,Pixabay,2.98245614,1.517648887,57,3.137254902,1.385923632,51,3.306122449,1.805132516,49,3.727272727,1.747533134,55
I492,Miserable face 1,3,Wikipedia,3.672413793,1.12994226,58,3.325581395,0.993333259,43,3.183673469,1.763914555,49,3.679245283,1.661482018,53
I493,Miserable face 2,3,Pixabay,2.733333333,1.115999348,45,2.5,1.175507627,56,3.673469388,1.852787934,49,4.096153846,1.796069951,52
I494,Miserable pose 1,3,Wikipedia,2.622222222,1.093137455,45,2.535714286,0.852041094,56,3.448979592,1.696334584,49,3.423076923,1.63714426,52
I495,Miserable pose 2,3,Pixabay,2.929824561,0.923109054,57,2.647058824,0.890472446,51,2.959183673,1.632472354,49,3.345454545,1.723671596,55
I496,Miserable pose 3,3,Wikipedia,1.136363636,0.509943412,44,1.086206897,0.339477553,58,4.70212766,2.412962221,47,5.692307692,2.119364144,52
I497,Miserable pose 4,3,Wikipedia,2.807017544,1.042637392,57,2.333333333,0.840634681,51,3.836734694,1.637413341,49,4.072727273,1.585285877,55
I498,Miserable pose 5,3,Pixabay,3.022222222,1.1178081,45,2.928571429,0.759357213,56,3.204081633,1.593993829,49,3.673076923,1.5557755,52
I499,Money 1,2,Pixabay,4.931034483,1.182653409,58,5,1.112697281,43,3.87755102,1.466751698,49,3.547169811,1.947049422,53
I500,Monkey 1,1,Pixabay,4.775862069,0.991951885,58,5,1.309307341,43,3.979591837,1.506787365,49,4.452830189,1.670629059,53
I501,Monkey 2,1,Flickr/Jo Christian Oterhals,4.111111111,1.318094738,45,3.928571429,1.305333714,56,3.632653061,1.679457719,49,3.807692308,1.703956889,52
I502,Monkey 3,1,All-free-download.com,3.894736842,1.291237094,57,3.31372549,1.086097529,51,3.183673469,1.589987806,49,3.909090909,1.734964268,55
I503,Monkey 4,1,Pixabay,3.035087719,1.068458708,57,2.666666667,1.107549848,51,3.367346939,1.603302289,49,3.963636364,1.924150956,55
I504,Moon 1,4,Pixabay,5.159090909,1.033017297,44,5.362068966,1.280053122,58,3.617021277,1.701063497,47,3.653846154,1.918788582,52
I505,Mother 1,3,Pixabay,5.888888889,1.112373021,45,6.267857143,1.183078748,56,3.857142857,1.732050808,49,4.307692308,1.754975689,52
I506,Mother 2,3,Pixabay,5.807017544,1.007801647,57,6.058823529,1.027847551,51,3.775510204,1.73523901,49,3.909090909,1.702642035,55
I507,Mother 3,3,Pixabay,5.017241379,1.456881786,58,5.186046512,1.592479557,43,3.979591837,1.725903096,49,4.20754717,1.668238253,53
I508,Mother 4,3,Pixabay,5.777777778,1.125911527,45,6.25,1.163849412,56,3.714285714,1.71998062,49,4.442307692,1.661719657,52
I509,Mother 5,3,Pixabay,5.789473684,1.064640149,57,6.098039216,0.943502029,51,3.510204082,1.659850006,49,3.509090909,1.60868853,55
I510,Mother 6,3,Pixabay,5.75,1.278170932,44,6.327586207,0.998031941,58,4.170212766,1.619435609,47,4.692307692,1.820778346,52
I511,Mother 7,3,Pixabay,5.75862069,1.246895722,58,6.418604651,1.028928202,43,4.142857143,1.620185175,49,4.490566038,1.659734009,53
I512,Mother 8,3,Pixabay,5.822222222,1.230094026,45,6.017857143,1.271950134,56,3.693877551,1.793554218,49,4.230769231,1.778029143,52
I513,Mother 9,3,Flickr/Graco Children Products,5.807017544,1.059625886,57,6.176470588,1.143781139,51,3.265306122,1.879444845,49,3.963636364,1.677339564,55
I514,Motocross 1,3,Pixabay,4.912280702,0.98707182,57,4.62745098,1.038475504,51,3.510204082,1.733523014,49,4.181818182,1.711517727,55
I515,Musician 1,3,Pixabay,5.245614035,0.95020114,57,5.588235294,0.920357987,51,3.163265306,1.532249691,49,3.254545455,1.566054039,55
I516,Nature 1,4,Pixabay,5.810344828,0.999243513,58,6.534883721,0.766837575,43,4.244897959,1.726395719,49,4.58490566,1.791367787,53
I517,Nature 2,4,Pixabay,5.409090909,0.923043042,44,5.862068966,1.099414132,58,3.574468085,1.677792038,47,3.596153846,1.828527913,52
I518,Neonazi 1,3,Wikipedia,2.133333333,1.575378742,45,1.982142857,1.407655322,56,4.224489796,2.238538457,49,4.634615385,2.048709265,52
I519,Neutral face 1,3,Wikipedia,4,0.681994339,44,3.931034483,0.746032052,58,2.638297872,1.292546054,47,2.173076923,1.33902443,52
I520,Neutral face 2,3,Pixabay,4.701754386,0.925143083,57,4.647058824,0.890472446,51,2.244897959,1.493466497,49,2.127272727,1.306033654,55
I521,Neutral face 3,3,Pixabay,4.448275862,1.028922342,58,4.581395349,0.931781656,43,2.857142857,1.541103501,49,2.41509434,1.32191531,53
I522,Neutral face 4,3,Pixabay,4.066666667,0.809039835,45,3.745454545,0.907135945,55,2.020408163,1.19878056,49,2.326923077,1.396369998,52
I523,Neutral face 5,3,Pixabay,5.444444444,1.119162746,45,4.625,0.843423758,56,4.551020408,1.500850099,49,3.038461538,1.507647674,52
I524,Neutral pose 1,3,Pixabay,5.045454545,0.963389014,44,5.068965517,1.07380401,58,2.978723404,1.510677385,47,3.076923077,1.582330793,52
I525,Neutral pose 2,4,Pixabay,5.133333333,1.140175425,45,5.357142857,1.118904845,56,3.612244898,1.455110628,49,3.711538462,1.861230233,52
I526,Neutral pose 3,3,Pixabay,3.862068966,0.544454527,58,3.744186047,0.581173823,43,2.612244898,1.335669722,49,2.622641509,1.534556001,53
I527,Nude couple 1,3,Wikipedia,5.288888889,1.290211791,45,5.535714286,1.143587429,56,5.040816327,1.413612153,49,4.942307692,1.274385073,52
I528,Nude couple 2,3,Wikipedia,5.568181818,0.899553566,44,5.344827586,1.192840104,58,4.829787234,1.356452357,47,4.076923077,1.594674395,52
I529,Nude couple 3,3,Flickr/you me,5.288888889,1.120515754,45,5.571428571,1.07630923,56,4.795918367,1.172241298,49,4.230769231,1.567005194,52
I530,Nude couple 4,3,Flickr/Marquis C.,5.522727273,0.848764803,44,5.24137931,1.189284686,58,4.680851064,1.270165737,47,4.288461538,1.499497151,52
I531,Nude couple 5,3,Wikipedia,5.684210526,1.283937787,57,5.68627451,1.435133389,51,5.204081633,1.224397672,49,5.472727273,1.345149661,55
I532,Nude couple 6,3,Flickr/kris krueg,5.620689655,1.436706592,58,4.860465116,1.655889854,43,6,1.274754878,49,4.905660377,1.973518441,53
I533,Nude couple 7,3,Wikipedia,5.534482759,1.142719398,58,5.906976744,0.921023072,43,4.428571429,1.732050808,49,4.037735849,1.709276322,53
I534,Nude couple 8,3,DeviantArt,5.385964912,1.145712286,57,5.156862745,1.391007534,51,4.469387755,1.459195566,49,4.909090909,1.554833887,55
I535,Nude couple 9,3,Flickr/Jaume Ventura,5.2,1.423823278,45,5.142857143,1.256670513,56,5.163265306,1.448374646,49,4.961538462,1.297985445,52
I536,Nude couple 10,3,Wikipedia,5.636363636,1.058540221,44,5.396551724,1.058626306,58,4.617021277,1.243298409,47,4.057692308,1.551892728,52
I537,Nude couple 11,3,Wikipedia,5.2,1.516575089,45,4.25,1.918806447,56,6.040816327,1.471382339,49,5.423076923,1.79701445,52
I538,Nude couple 12,3,Flickr/dat,5.288888889,1.358846808,45,4.910714286,1.225142451,56,5.510204082,1.174777443,49,4.942307692,1.227359058,52
I539,Nude couple 13,3,Wikipedia,5.863636364,0.795069372,44,5.74137931,1.192966887,58,4.659574468,1.59178046,47,4.384615385,1.598453249,52
I540,Nude couple 14,3,Wikipedia,5.120689655,1.947356158,58,4.465116279,2.108360198,43,6.142857143,1.322875656,49,5.132075472,2.201727782,53
I541,Nude man 1,3,Flickr/Charles Roffey,4.25,0.94315157,44,4.482758621,0.777792181,58,2.957446809,1.744026411,47,3.615384615,1.483951352,52
I542,Nude man 2,3,Flickr/Charles Roffey,4.266666667,1.23214521,45,4.571428571,0.870885502,56,2.857142857,1.5,49,3.25,1.690515642,52
I543,Nude man 4,3,Flickr/Swire,4.227272727,1.361661713,44,4.862068966,1.290291356,58,3.170212766,1.926013555,47,4.173076923,1.478223017,52
I544,Nude man 5,3,Flickr/Travis75,4.103448276,1.410358361,58,5.534883721,1.054442692,43,2.816326531,1.986133906,49,4.320754717,1.55382388,53
I545,Nude man 6,3,Flickr/sea turtle,4.022727273,1.229267817,44,3.982758621,1.177141636,58,3.276595745,1.849819353,47,3.769230769,1.579468571,52
I546,Nude man 7,3,Flickr/O. G.,4.137931034,1.033615285,58,5.023255814,1.123098861,43,2.918367347,2.069991291,49,4.490566038,1.588693725,53
I547,Nude man 8,3,Flickr/John Goodridge,2.948275862,1.431750417,58,3.465116279,1.894212202,43,3.163265306,2.095102809,49,4.283018868,2.051053749,53
I548,Nude man 9,3,Flickr/Rodrigo S_ Barreto,3.210526316,1.12974147,57,3.607843137,0.801958387,51,2.714285714,1.683250823,49,4.2,1.626174789,55
I549,Nude man 10,3,Wikipedia,3.327586207,1.514699102,58,3.837209302,1.631975615,43,3.020408163,2.126125152,49,4.339622642,2.156772841,53
I550,Nude man 11,3,Wikipedia,2.977272727,1.810674246,44,3.327586207,1.800467103,58,3.723404255,2.437943963,47,4.634615385,1.97065577,52
I551,Nude man 12,3,Flickr/Chris Hunkeler,4.568965517,1.109956044,58,4.790697674,0.989423582,43,2.673469388,1.863998336,49,4.094339623,1.559883513,53
I552,Nude man 13,3,Flickr/Sasha Kargaltsev,4.051724138,1.050019445,58,4.627906977,1.215441441,43,2.979591837,2.015458963,49,3.924528302,1.54233909,53
I553,Nude man 14,3,Flickr/See-ming Lee,3.807017544,1.245543434,57,4.941176471,1.36252361,51,2.673469388,1.760536792,49,4.618181818,1.683150805,55
I554,Nude man 15,3,Wikipedia,3.603448276,1.521075972,58,4.209302326,1.504883155,43,2.857142857,2.169869428,49,4.150943396,1.702896022,53
I555,Nude man 16,3,Flickr/David Shankbone,3.859649123,1.394358487,57,5.058823529,1.30248631,51,2.755102041,1.750364394,49,4.890909091,1.663026327,55
I556,Nude man 17,3,Wikipedia,3.25862069,1.250408282,58,4.348837209,1.445579813,43,2.979591837,2.193644189,49,3.924528302,1.827661985,53
I557,Nude man 18,3,Wikipedia,3.175438596,1.377404482,57,3.941176471,1.156058211,51,2.795918367,1.936272104,49,4.163636364,1.761350874,55
I558,Nude man 19,3,Wikipedia,4.456140351,1.103082943,57,5.117647059,1.177235046,51,2.857142857,1.732050808,49,4.636363636,1.591221711,55
I559,Nude man 20,3,Wikipedia,2.964912281,1.812308239,57,4.058823529,1.70190205,51,3.224489796,2.143452298,49,5.109090909,1.852653025,55
I560,Nude man 3,3,Flickr/Charles Roffey,4.136363636,1.069468659,44,4.431034483,1.14113008,58,2.808510638,1.872435033,47,3.711538462,1.660811737,52
I561,Nude man 21,3,Wikipedia,3.222222222,1.987333628,45,3.839285714,1.637923139,56,3.551020408,2.041866227,49,5.019230769,1.754438457,52
I562,Nude man 22,3,Wikipedia,4.568181818,1.065259599,44,4.982758621,1.034346634,58,3.446808511,1.779209774,47,4.384615385,1.610673299,52
